order_id,user_id,product_id,quantity,order_date,order_status,payment_method,unit_price,total_amount,discount,actual_payment,delivery_date,receive_date,review_score,review_content,order_date_date
O00000001,U002593,P000771,5,2025/11/6 22:38,已付款,花呗,699.89,3486.43,91.49,3394.94,,,,,2025-11-06
O00000002,U000258,P000230,5,2026/2/5 22:38,已收货,信用卡,74.82,342.44,73.13,269.31,2026/2/7 22:38,2026/2/10 22:38,,,2026-02-05
O00000003,U000290,P000801,1,2025/12/18 22:38,已收货,花呗,467.5,444.98,75.39,369.59,2025/12/23 22:38,2025/12/24 22:38,,,2025-12-18
O00000004,U002014,P001518,3,2025/9/25 22:38,已完成,微信支付,1473.13,3974.99,602.53,3372.46,2025/9/26 22:38,2025/9/28 22:38,,,2025-09-25
O00000005,U004543,P000724,2,2026/2/12 22:38,已付款,花呗,113.38,201.15,24.63,176.52,,,,,2026-02-12
O00000006,U003966,P001912,2,2025/11/11 22:38,已发货,信用卡,7339.04,13633.54,3993.81,9639.73,2025/11/16 22:38,,,,2025-11-11
O00000007,U002774,P001769,1,2025/12/17 22:38,已完成,银行卡,616.24,558.31,33.89,524.42,2025/12/19 22:38,2025/12/21 22:38,5,很满意,2025-12-17
O00000008,U004675,P001017,3,2025/10/29 22:38,已取消,支付宝,1269.98,3255.36,37.78,3217.58,,,,,2025-10-29
O00000009,U001232,P001127,2,2025/9/24 22:38,已完成,银行卡,1893.55,3353.31,175.91,3177.4,2025/9/28 22:38,2025/9/30 22:38,5,好评！,2025-09-24
O00000010,U004495,P001015,1,2026/2/6 22:38,已完成,花呗,476.77,445.83,62.46,383.37,2026/2/9 22:38,2026/2/11 22:38,4,包装很好,2026-02-06
O00000011,U003189,P001616,4,2025/12/2 22:38,已发货,信用卡,1158.0,4235.41,10.75,4224.66,2025/12/3 22:38,,,,2025-12-02
O00000012,U003123,P001764,1,2025/11/7 22:38,已收货,支付宝,7404.85,6595.28,447.67,6147.61,2025/11/10 22:38,2025/11/11 22:38,,,2025-11-07
