behavior_id,user_id,product_id,behavior_type,behavior_time,duration_seconds
B00000001,U001578,P000954,浏览,2025-12-24 14:08:36,356
B00000002,U001481,P001692,浏览,2026-01-28 00:04:36,153
B00000003,U004429,P001119,浏览,2025-12-31 15:14:36,406
B00000004,U000747,P001615,收藏,2026-03-03 06:52:36,0
B00000005,U004962,P000695,收藏,2026-01-14 10:50:36,0
B00000006,U003088,P000826,浏览,2025-12-26 00:32:36,238
B00000007,U004741,P001192,浏览,2026-01-07 15:02:36,475
B00000008,U000150,P001013,浏览,2026-03-02 09:49:36,215
B00000009,U003866,P001722,浏览,2026-02-04 08:15:36,256
B00000010,U004898,P001864,点击,2026-01-03 04:32:36,553
B00000011,U004978,P000430,浏览,2025-12-13 13:17:36,65
B00000012,U002329,P001866,浏览,2026-02-15 02:33:36,397
B00000013,U001676,P001709,浏览,2026-02-21 05:28:36,107
B00000014,U002587,P001674,浏览,2026-02-07 07:01:36,512
B00000015,U002390,P001382,浏览,2026-02-02 20:29:36,495
B00000016,U000674,P000722,收藏,2026-01-13 02:45:36,0
B00000017,U003702,P001840,点击,2026-01-04 05:52:36,529
B00000018,U001361,P001756,浏览,2025-12-23 15:35:36,582
B00000019,U003067,P000702,浏览,2026-01-01 14:12:36,50
B00000020,U003147,P001820,浏览,2026-01-24 23:17:36,294
B00000021,U003618,P000114,点击,2026-02-14 21:18:36,218
B00000022,U003068,P000532,收藏,2025-12-07 04:00:36,0
B00000023,U002163,P001624,浏览,2026-01-12 22:21:36,552
B00000024,U001445,P000505,浏览,2025-12-07 15:50:36,93
B00000025,U004026,P001350,浏览,2025-12-24 07:04:36,59
B00000026,U002161,P001321,浏览,2026-01-01 11:57:36,15
B00000027,U003354,P001392,浏览,2026-02-03 12:09:36,411
B00000028,U004820,P000864,浏览,2025-12-05 07:06:36,225
B00000029,U001771,P001798,浏览,2025-12-23 22:52:36,115
B00000030,U004545,P001419,浏览,2026-02-23 19:11:36,7
B00000031,U001703,P001054,加购,2025-12-06 20:14:36,0
B00000032,U000195,P000387,浏览,2026-02-17 22:28:36,327
B00000033,U000575,P000968,收藏,2025-12-28 23:31:36,0
B00000034,U002630,P001953,点击,2026-02-12 16:10:36,365
B00000035,U004687,P000054,点击,2026-02-19 20:42:36,33
B00000036,U004644,P000687,浏览,2026-01-10 07:28:36,477
B00000037,U000389,P000979,点击,2025-12-15 06:07:36,417
B00000038,U001753,P000762,点击,2026-02-15 22:43:36,132
B00000039,U000661,P000010,点击,2025-12-25 09:13:36,266
B00000040,U002833,P001811,加购,2026-03-04 13:31:36,0
B00000041,U004630,P001289,浏览,2026-01-09 12:52:36,9
B00000042,U000297,P000135,浏览,2025-12-09 14:05:36,274
B00000043,U000331,P000573,点击,2026-01-23 02:42:36,531
B00000044,U003850,P000526,收藏,2026-01-17 03:57:36,0
B00000045,U004951,P000258,浏览,2026-02-12 18:20:36,444
B00000046,U001285,P001430,收藏,2025-12-29 01:25:36,0
B00000047,U001079,P000444,收藏,2025-12-17 00:15:36,0
B00000048,U000875,P000301,浏览,2025-12-29 03:22:36,523
B00000049,U003867,P001812,浏览,2026-01-04 08:25:36,483
B00000050,U004838,P001050,浏览,2026-01-21 22:52:36,120
B00000051,U002686,P001467,浏览,2026-02-16 17:05:36,449
B00000052,U002490,P001015,浏览,2026-01-04 22:18:36,65
B00000053,U001586,P000964,收藏,2026-01-11 17:29:36,0
B00000054,U003808,P001063,点击,2026-01-04 20:38:36,497
B00000055,U002941,P001270,浏览,2026-01-25 00:26:36,252
B00000056,U004487,P001000,浏览,2026-02-08 00:32:36,235
B00000057,U004469,P001687,点击,2025-12-27 08:17:36,574
B00000058,U001503,P001232,浏览,2026-02-21 20:59:36,154
B00000059,U000746,P001689,点击,2026-01-05 03:28:36,114
B00000060,U002613,P000628,浏览,2026-02-25 10:58:36,63
B00000061,U001509,P000201,加购,2025-12-24 15:16:36,0
B00000062,U001771,P001205,收藏,2025-12-15 21:39:36,0
B00000063,U003780,P000381,点击,2026-02-09 14:20:36,191
B00000064,U001962,P001931,点击,2026-01-10 03:52:36,59
B00000065,U001596,P001817,浏览,2026-01-25 10:59:36,52
B00000066,U004781,P001951,浏览,2026-01-13 14:03:36,115
B00000067,U002534,P001198,浏览,2025-12-26 01:56:36,124
B00000068,U003659,P000667,浏览,2026-02-08 20:01:36,290
B00000069,U000466,P000868,收藏,2026-02-14 18:52:36,0
B00000070,U002070,P001343,浏览,2026-02-06 14:27:36,543
