user_id,total_spent,order_count,completed_orders,avg_order_amount,browse_count,click_count,favorite_count,cart_count,days_since_last_order,order_frequency,repurchase_indicator,purchase_intent,consumption_level,member_level_score
U000001,4558.21,6.0,2.0,685.8439999999999,6.0,0.0,3.0,0.0,999,2.0,1,0.1379,中,2
U000002,5265.46,3.0,0.0,1755.1533333333334,2.0,1.0,1.0,1.0,999,0.0,0,0.2345,中,1
U000003,3468.85,1.0,0.0,3468.85,1.0,0.0,2.0,0.0,999,0.0,0,0.368,中,3
U000004,18010.620000000003,3.0,1.0,6003.540000000001,4.0,5.0,0.0,0.0,999,1.0,0,0.2308,高,2
U000005,3047.81,2.0,1.0,2833.58,3.0,1.0,2.0,1.0,999,1.0,0,0.265,中,1
U000006,1121.78,1.0,0.0,0.0,3.0,3.0,1.0,1.0,999,0.0,0,0.2487,低,2
U000007,1565.74,1.0,0.0,1565.74,6.0,1.0,0.0,2.0,999,0.0,0,0.1405,低,3
U000008,1859.05,1.0,0.0,1859.05,2.0,3.0,1.0,1.0,999,0.0,0,0.2314,低,3
U000009,3518.64,1.0,0.0,0.0,5.0,1.0,0.0,3.0,999,0.0,0,0.2352,中,2
U000010,5805.46,1.0,0.0,5805.46,0.0,0.0,1.0,1.0,999,0.0,0,0.1741,中,2
U000011,17016.21,4.0,1.0,4254.0525,2.0,2.0,0.0,0.0,999,1.0,0,0.3353,高,1
U000012,18339.95,4.0,2.0,4584.9875,1.0,1.0,0.0,2.0,999,2.0,1,0.3498,高,4
U000013,6003.5,3.0,1.0,2495.535,5.0,0.0,0.0,0.0,999,1.0,0,0.2064,中,4
U000014,2936.25,2.0,1.0,227.98,4.0,1.0,1.0,1.0,999,1.0,0,0.1282,低,3
U000015,653.77,2.0,2.0,326.885,2.0,2.0,0.0,0.0,999,2.0,1,0.3275,低,1
U000016,4438.78,3.0,2.0,1479.5933333333332,2.0,1.0,2.0,1.0,999,2.0,1,0.1176,中,2
U000017,17760.94,8.0,5.0,2451.944285714286,5.0,1.0,1.0,1.0,999,5.0,1,0.3765,高,3
U000018,22760.27,4.0,2.0,5690.0675,3.0,2.0,0.0,1.0,999,2.0,1,0.217,高,5
U000019,15587.439999999999,3.0,2.0,5195.813333333333,3.0,2.0,1.0,1.0,999,2.0,1,0.2627,高,5
U000020,18808.420000000002,6.0,4.0,3134.736666666667,0.0,2.0,0.0,0.0,999,4.0,1,0.3765,高,4
U000021,1760.0,2.0,0.0,394.97,6.0,0.0,2.0,0.0,999,0.0,0,0.3231,低,1
U000022,2446.35,2.0,2.0,1223.175,0.0,2.0,2.0,2.0,999,2.0,1,0.1062,低,5
