user_id,age,gender,province,city,registration_date,member_level,account_balance,credit_score
U000001,35,男,湖北,深圳,2022/7/5 22:38,铜牌会员,5761.97,611
U000002,30,男,浙江,厦门,2025/6/20 22:38,普通会员,1690.84,674
U000003,37,女,云南,杭州,2025/12/14 22:38,银牌会员,139.39,800
U000004,44,男,江西,福州,2021/12/8 22:38,铜牌会员,1114.76,540
U000005,30,男,河南,长沙,2024/7/20 22:38,普通会员,2552.27,657
U000006,30,女,湖北,郑州,2024/9/20 22:38,铜牌会员,916.99,693
U000007,44,女,安徽,西安,2024/11/3 22:38,银牌会员,1078.54,655
U000008,38,女,江西,苏州,2025/4/24 22:38,银牌会员,2482.89,551
U000009,28,男,安徽,西安,2021/12/18 22:38,铜牌会员,16322.85,611
U000010,36,男,湖南,苏州,2025/7/9 22:38,铜牌会员,7224.78,454
U000011,28,男,山西,天津,2022/4/20 22:38,普通会员,1926.46,650
U000012,28,女,广西,深圳,2021/12/10 22:38,金牌会员,15141.7,536
U000013,33,女,广东,青岛,2023/1/14 22:38,金牌会员,5187.31,686
U000014,18,女,江苏,长沙,2025/8/9 22:38,银牌会员,3038.97,597
U000015,18,男,安徽,北京,2022/10/13 22:38,普通会员,3158.38,590
U000016,27,女,福建,西安,2023/9/23 22:38,铜牌会员,2644.48,663
U000017,23,男,北京,苏州,2025/11/30 22:38,银牌会员,1326.29,670
U000018,34,女,广东,郑州,2025/12/4 22:38,钻石会员,2443.95,719
U000019,24,女,河南,西安,2025/7/27 22:38,钻石会员,3752.78,629
U000020,20,女,重庆,苏州,2024/11/13 22:38,金牌会员,3754.17,641
U000021,43,女,上海,天津,2024/10/15 22:38,普通会员,7171.9,539
U000022,30,女,陕西,重庆,2023/4/6 22:38,钻石会员,2222.05,765
U000023,32,女,广西,西安,2022/9/20 22:38,银牌会员,6307.97,575
U000024,20,女,湖北,上海,2025/12/11 22:38,金牌会员,4314.84,707
U000025,27,男,陕西,北京,2022/12/12 22:38,铜牌会员,16330.55,708
U000026,32,女,四川,上海,2024/12/23 22:38,铜牌会员,2432.98,681
U000027,22,男,陕西,合肥,2022/1/29 22:38,铜牌会员,11574.12,631
U000028,35,女,湖北,武汉,2022/6/14 22:38,普通会员,8591.87,620
U000029,27,女,河南,重庆,2022/2/28 22:38,铜牌会员,5075.92,644
U000030,29,女,云南,广州,2023/1/14 22:38,金牌会员,5314.02,497
U000031,27,男,上海,西安,2023/9/28 22:38,普通会员,442.24,647
U000032,46,男,陕西,深圳,2024/11/9 22:38,普通会员,15001.17,768
U000033,31,女,湖南,武汉,2023/7/30 22:38,普通会员,565.49,631
U000034,23,女,江苏,上海,2022/10/16 22:38,铜牌会员,4141.78,647
U000035,38,女,陕西,广州,2024/7/14 22:38,钻石会员,2002.92,568
U000036,22,男,江苏,上海,2021/7/22 22:38,普通会员,2809.3,664
U000037,33,女,陕西,武汉,2021/3/21 22:38,普通会员,4710.39,587
U000038,18,女,山东,杭州,2026/1/21 22:38,金牌会员,11976.32,717
